Monsoon Interannual Timeseries
http://mol.tropmet.res.in/
Climatological Mean: 880.6 mm

Year	Rainfall % Departure
1871	-0.40
1872	7.21
1873	-11.14
1874	14.34
1875	9.10
1876	-8.74
1877	-29.13
1878	14.54
1879	5.35
1880	-3.76
1881	1.07
1882	5.95
1883	-0.34
1884	9.47
1885	-0.55
1886	2.62
1887	5.53
1888	-4.78
1889	9.20
1890	6.27
1891	-7.02
1892	16.34
1893	12.06
1894	14.00
1895	-3.36
1896	-2.78
1897	4.55
1898	3.80
1899	-26.18
1900	4.35
1901	-15.28
1902	-7.09
1903	1.02
1904	-11.97
1905	-15.94
1906	3.85
1907	-8.77
1908	5.27
1909	4.35
1910	9.72
1911	-13.60
1912	-5.43
1913	-7.96
1914	5.37
1915	-8.40
1916	11.55
1917	17.85
1918	-23.65
1919	3.79
1920	-15.63
1921	1.60
1922	1.96
1923	-3.42
1924	1.23
1925	-5.70
1926	5.93
1927	0.09
1928	-9.90
1929	-3.64
1930	-5.60
1931	2.92
1932	-5.73
1933	14.49
1934	7.17
1935	-1.04
1936	6.58
1937	-1.21
1938	6.57
1939	-7.37
1940	0.12
1941	-14.55
1942	12.37
1943	1.88
1944	8.00
1945	6.89
1946	6.03
1947	10.93
1948	2.53
1949	6.06
1950	2.91
1951	-13.31
1952	-6.97
1953	8.30
1954	3.88
1955	9.14
1956	15.37
1957	-7.46
1958	4.34
1959	10.79
1960	-1.48
1961	19.72
1962	-4.99
1963	0.66
1964	8.25
1965	-16.77
1966	-13.17
1967	0.92
1968	-11.45
1969	-2.48
1970	10.28
1971	4.06
1972	-23.39
1973	7.17
1974	-12.23
1975	12.96
1976	0.53
1977	3.63
1978	6.70
1979	-16.95
1980	3.58
1981	0.00
1982	-13.73
1983	12.15
1984	-1.83
1985	-10.84
1986	-12.82
1987	-18.20
1988	12.83
1989	1.69
1990	6.61
1991	-7.85
1992	-7.90
1993	1.70
1994	11.81
1995	-6.09
1996	0.76
1997	2.26
1998	0.84
1999	-3.54
2000	-8.67
2001	-6.89
2002	-22.32
2003	-0.31
2004	-12.60
2005	0.55
2006	2.09
2007	9.73
2008	4.10
2009	-21.65
2010	-0.76
2011	3.38
2012	-8.38
2013	8.31
2014	-13.58
2015	-14.00
2016	-2.60
2017	-5.20
2018	-9.40
2019	9.96
